source,relation,target
Borden Inc,said,Inc and three companies
models and hobby items,acquiring,Inc and three companies
Inc and three companies,producing,180 mln dlrs
Borden,said,have
the four companies,expected,1987 sales
1987 sales,totaling,dlrs
pasta and Italian food,said,account
Prince Co Inc and three companies,expected,for
brands and the premium Creamette brand,distributed,a nearly national basis
This years sales,expected,285 mln dlrs
models and hobby items,said,This years sales
Borden,said,Blue Channel Inc
the other three companies,are,the canned shrimp products line
Borden,said,produce
the divestment,dlrs,sales
pasta and Italian food,said,month
which,makes,polyvinyl acetate emulsions
the sale,announced by,the buyer
 Borden,said,in
the divestment,is,process
