id,entity
1,shipping movements
2,a short time
3,The industrial action
4,a separate dispute
5,disruption
6,nearly 20 vessels
7,the New South Wales Trades
8,to
9,disruption
10,The ban
11,the disruption
12,they
13,cargo handling
14,The pay dispute
15,New South Wales ports
16,the week
17,crews
18,turn
19,a pay claim
20,it
21,they
22,disruption
23,unions
24,action
25,They
26,ban
27,the various port unions
28,shipping sources
29,a hearing
30,handling
31,foreign-flag ships
32,containers
33,Tug crews
34,The shipping sources
