source,relation,target
Tug crews,lifted,a separate dispute
foreign-flag ships,carrying,containers
New South Wales ports,disrupted by,a separate dispute
shipping sources,said,crews
The ban,imposed,a pay claim
The ban,prevented,nearly 20 vessels
they,said,ban
The pay dispute,went before,a hearing
disruption,began,cargo handling
they,said,disruption
The industrial action,is,the week
action,called by,the New South Wales Trades
The shipping sources,said,unions
the various port unions,appear,turn
to,work for,a short time
they,said,handling
They,said,they
they,say,disruption
the disruption,go,shipping movements
it,have on,shipping movements
