source,relation,target
Borden Inc,said,it
it,acquiring,Prince Co Inc
three companies,producing,180 mln dlrs
Borden Inc,said,companies
the four companies,expected,1987 sales
1987 sales,totaling,230 mln dlrs
It,said,Prince Co Inc
Prince Co Inc,expected,210 mln dlrs
the premium Creamette brand,distributed,a nearly national basis
This years sales,expected,285 mln dlrs
it,said,This years sales
Borden Inc,said,companies
the other three companies,are,Jersey City
Borden Inc,said,divestment
the divestment,dlrs,sales
It,said,sale
which,makes,polyvinyl acetate emulsions
the sale,announced by,the buyer
Borden Inc,said,divestment
the divestment,is,process
